ID,Definition
ENGINE-001,DEFAULT_ERROR
ENGINE-002,ILLEGAL_ENGINE_INPUT
ENGINE-003,ACCT_OP_NOT_SUPPORTED
ENGINE-004,RECORD_NOT_FOUND_IN_IMPORT_STORE
ENGINE-005,DATA_SOURCE_ALREADY_EXISTS
ENGINE-006,DATA_SOURCE_TOO_MANY
ENGINE-007,DATA_SOURCE_NOT_FOUND
ENGINE-008,DATA_SOURCE_BACKUP_ERROR
ENGINE-009,DATA_SOURCE_DELETE_ERROR
ENGINE-010,DATA_SOURCE_CREATE_ERROR
ENGINE-011,DATA_SOURCE_GET_ERROR
ENGINE-012,RDM_CREATE_FAILED
ENGINE-013,VALIDATIONS_FAILED
ENGINE-014,FAILED_AFTER_RETRIES
ENGINE-015,UNSUPPORTED_EXPOSURE_TYPE
ENGINE-016,BACKUP_STATUS_RETRIEVE_ERROR
ENGINE-017,BACKUP_CREATE_ERROR
ENGINE-018,LI_JOB_CANCELLED
ENGINE-019,MRI_VALIDATION_FAIL
ENGINE-020,ANALYSIS_JOB_NOT_FOUND
ENGINE-021,ANALYSIS_S3_FILE_NOT_FOUND
ENGINE-022,DB_OPERATION_FAILED
ENGINE-023,INVALID_DB_HOST
ENGINE-024,INVALID_DB_PORT
ENGINE-025,INVALID_DB_USER
ENGINE-026,INVALID_DB_PWD
ENGINE-027,INVALID_S3ACCESSKEY
ENGINE-028,INVALID_S3SECRET
ENGINE-029,INVALID_DBRDMKEY
ENGINE-030,INVALID_S3BUCKET
ENGINE-031,INVALID_S3DOWNLOADBUCKET
ENGINE-032,INVALID_TENANTID
ENGINE-033,INVALID_ANALYSISID
ENGINE-034,INVALID_USERID
ENGINE-035,INVALID_WORKFLOWID
ENGINE-036,INVALID_WORKFLOWSERVICEURL
ENGINE-037,INVALID_EXPIRATIONHOURS
ENGINE-038,INVALID_EDMBUCKETNAME
ENGINE-039,INVALID_BCP_BATCH_SIZE
ENGINE-040,INVALID_BCP_TIMEOUT
ENGINE-041,INVALID_DETAIL_LOSSES_EXPORT_VALUE
ENGINE-042,EVENT_RATES_ERROR
ENGINE-043,REQUEST_FORMAT_STRING
ENGINE-044,EVENT_RATES_DATASTORE_READ_ERROR
ENGINE-045,EVENT_RATES_READ_ERROR
ENGINE-046,EVENT_RATES_HEADER_READ_ERROR
ENGINE-047,LI_BULK_GEOCODE_JOB_FAILED
ENGINE-048,GEOCODE_SERVER_ERROR
ENGINE-049,PORTFOLIO_OP_NOT_SUPPORTED
ENGINE-050,DATABASE_ISSUE_DURING_OPERATION
ENGINE-051,TEMPLATE_FILE_NOT_FOUND
ENGINE-052,INVALID_DLMJOBID
ENGINE-053,INVALID_AUTHTOKEN
ENGINE-054,INVALID_SERVICENAME
ENGINE-055,INVALID_EXPOSURE
ENGINE-056,SQL_EXCEPTION
ENGINE-057,HPC_ERROR
ENGINE-058,TREATY_OP_NOT_SUPPORTED
ENGINE-059,EDM_UPGRADE_FAILED
ENGINE-060,COPY_ACCOUNT_OPERATION_FAILED
ENGINE-061,DELETE_ACCOUNT_OPERATION_FAILED
ENGINE-062,CURRENCY_CONVERSION_OPERATION_FAILED
ENGINE-063,PORTFOLIO_AND_ITS_ACCOUNTS_METRICS
ENGINE-064,ALL_METRICS_IN_EDM
ENGINE-065,INVALID_DETAIL_STATS_EXPORT_VALUE
ENGINE-066,COPY_PORTFOLIO_OPERATION_FAILED
ENGINE-067,DELETE_PORTFOLIO_OPERATION_FAILED
ENGINE-068,FAILED_TO_GET_ANALYTICS_DETAILS
ENGINE-069,DATABASE_DELETE_ERROR
ENGINE-070,FAILED_TO_UPDATE_DB_ATTRIB_TABLE
ENGINE-071,EDM_DB_INFO_UPDATE_FAILED
ENGINE-072,FAILED_TO_ACQUIRE_POSITION_IN_TASK_QUEUE
ENGINE-073,FAILED_TO_CREATE_EMPTY_EDM
ENGINE-074,FAILED_LOAD_PARQUET_FROM_S3
ENGINE-075,FAILED_RECREATE_RDM_INDICES
ENGINE-076,FAILED_UPDATE_RDM_SEEDIDS
ENGINE-077,FAILED_CREATE_RDM_BACKUP
ENGINE-078,FAILED_GENERATE_RDM_DOWNLOAD_LINK
ENGINE-079,LAYER_INFO_PARSE_FAILED
ENGINE-081,FAILED_TO_DROP_INDICIES
ENGINE-082,FAILED_TO_DELETE_WEBDB_ENTRIES
ENGINE-083,FAILED_TO_UPDATE_DB_WITH_DSN_ENTRIES
ENGINE-084,FAILED_TO_CREATE_EDM_METADATA_ENTRIES
ENGINE-085,FAILED_TO_MAKE_DB_INFO_ENTRIES
ENGINE-086,FAILED_TO_MAKE_DB_METRICS_ENTRIES
ENGINE-087,FAILED_TO_MAKE_GROUPDB_DETAIL_ENTRY
ENGINE-088,FAILED_TO_DETACH_DATASOURCE
ENGINE-089,FAILED_TO_GET_IMPORTSOURCE
ENGINE-090,FAILED_TO_GET_TASKID_FOR_RESTORE_PROCESS
ENGINE-091,FAILED_TO_PROCESS_UPLOAD
ENGINE-092,FAILED_TO_UPDATE_IMPORTSOURCE
ENGINE-093,FAILED_TO_DELETE_GROUPDBDET_TABLE
ENGINE-094,FAILED_TO_DELETE_DBINFO_TABLE
ENGINE-095,FAILED_TO_COPY_EDM
ENGINE-096,FAILED_TO_GET_EDM_NAME_FROM_DBINFO_TABLE
ENGINE-097,GEOHAZ_INPUT_ERROR
ENGINE-098,FAILED_TO_GET_JOBID
ENGINE-099,LOAD_DB_CONNECTION_PROPERTIES_ERROR
ENGINE-100,RETRIEVE_ANALYSIS_DET_ERROR
ENGINE-101,FLYWAY_REBASELINE_ERROR
ENGINE-102,DATASOURCE_CREATION_FAILED
ENGINE-103,DATASOURCE_INITIALIZATION_FAILED
ENGINE-104,INVALID_ENGINE_INPUT
ENGINE-105,READ_EXPOSURE_ID_FAILED
ENGINE-106,TOO_MANY_TREATY_PRIORITY_NUMBERS
ENGINE-107,UNABLE_TO_SAVE_FINANCIAL_PERSP
ENGINE-108,UNABLE_TO_SAVE_TREATIES
ENGINE-109,UNABLE_TO_LOAD_TREATIES
ENGINE-110,UNABLE_TO_GET_ANALYSIS_STATUS
ENGINE-111,UNABLE_TO_GET_ANALYSISID_FOR_JOBID
ENGINE-112,UNABLE_TO_GET_ANALYSIS_FOR_ID
ENGINE-113,UNABLE_TO_GET_JOBID_FOR_ANLS_ID
ENGINE-114,UNABLE_TO_COPY_ANALYSIS
ENGINE-115,UNABLE_TO_LOAD_EVENT_LOSS
ENGINE-116,UNABLE_TO_GET_TREATY_INFO
ENGINE-117,UNABLE_TO_LOAD_EVENT_LOSS_PERSPECTIVE
ENGINE-118,UNABLE_TO_LOAD_LOSSES_FOR_PERSPECTIVE
ENGINE-119,EP_TYPE_NEEDED
ENGINE-120,TREATY_INFO_NOT_SET
ENGINE-121,ANALYSIS_NOT_EP_TYPE
ENGINE-122,NO_LOSSES_CALCULATED
ENGINE-123,UNABLE_TO_GENERATE_EP_CURVES
ENGINE-124,ERROR_FIND_FFT_HIGHEST_POINT
ENGINE-125,CALCULATE_TREATY_STATS_ERROR
ENGINE-126,NO_EVENT_LOSSES_FOUND
ENGINE-127,STATS_CURVE_CALC_ERROR
ENGINE-128,STATS_CALC_ERROR
ENGINE-129,UNABLE_TO_CALCULATE_STATS
ENGINE-130,UNABLE_TO_LOAD_FIN_PERSP
ENGINE-131,EP_LOSS_CALC_FAILED
ENGINE-132,ERROR_EP_CURVE_GEN_FOR_TREATY
ENGINE-133,ERROR_CREATE_GROUP
ENGINE-134,UNABLE_TO_ADD_ANALYSIS_EVENTS
ENGINE-135,INVALID_ANALYSIS_ID
ENGINE-136,FAILED_TO_DELETE_RESULTS
ENGINE-137,FAILED_ANALYSIS_WRITE
ENGINE-138,FAILED_GROUP_RESULT_DELETE
ENGINE-139,FAILED_REGROUP_TREATIES
ENGINE-140,GROUP_ALREADY_CONTAINS_ANALYSIS
ENGINE-141,GROUP_CONTAINS_CIRCULAR_HIER
ENGINE-142,DUPLICATE_ANALYSIS_IDS
ENGINE-143,REGIONAL_GROUPING_FAILED
ENGINE-144,FAILED_TO_GET_EVENT_ID_COUNT
ENGINE-145,FAILED_CONVERT_CURRENCY
ENGINE-146,FAILED_SCHEME_COUNT
ENGINE-147,ANLS_OR_CURRENCY_NOT_FOUND
ENGINE-148,ANLS_REGION_COUNT_NOT_FOUND
ENGINE-149,FAILED_ANALYSIS_COUNT
ENGINE-150,MISSING_PERSPCODE_MAPPING
ENGINE-151,MISSING_ANALYSIS_MAPPING
ENGINE-152,EXPOSURE_ID_ORDER_NOT_FOUND
ENGINE-153,UNABLE_GET_GROUP_EXP_LIST
ENGINE-154,FAILED_TO_GROUP_REGIONAL_LOSSES
ENGINE-155,ANALYSIS_NOT_IN_GROUP_LIST
ENGINE-156,FAILED_GET_GROUP_LOSS
ENGINE-157,TREATY_NOT_IN_PATE_EDIT_LIST
ENGINE-158,TREATY_LOSS_CALC_FAILED
ENGINE-159,FAILED_GET_TREATY
ENGINE-160,UNSUPPORTED_ANLS_MODE
ENGINE-161,MISSING_DLM_PARENT_ANLS_ID
ENGINE-162,S3_BUCKET_INCONSISTENT
ENGINE-163,ALM_ANLS_MISSING_EXPOSURES
ENGINE-164,ALM_ANLS_MISSING_PROFILES
ENGINE-165,FAILED_SUBMIT_HPC_JOB
ENGINE-166,FAILED_JOB_HPC_TRANSFORM
ENGINE-167,FAILED_S3_WRITE
ENGINE-168,DB_NAME_CONFLICT
ENGINE-169,DOWNLOAD_LINK_CREATE_FAILED
ENGINE-170,FAILED_RETENTION_ENTRY
ENGINE-171,FAILED_CREATE_HPC_JOB
ENGINE-172,FAILED_CREATE_HPC_TASK
ENGINE-173,FAILED_HPC_ENV_SETUP
ENGINE-174,S3_FILE_READ_FAIL
ENGINE-175,GET_RLAAS_INPUT_FAIL
ENGINE-176,EDM_CREATE_FAIL
ENGINE-177,INVALID_ANALYSIS_ID_FILTER
ENGINE-178,RDS_QUOTA_EXCEEDED
ENGINE-179,FAILED_TO_REGISTER_LOSSES
ENGINE-180,FAILED_TO_TRANSFORM_OUTPUT
ENGINE-181,GLOBAL_EDIT_OPERATION_FAILED
ENGINE-182,FAILED_TO_FIND_METADATA
ENGINE-183,FAILED_TO_QUERY_RESULTS_SERVICE
ENGINE-184,FAILED_TO_GET_EP_RESULTS
ENGINE-185,FAILED_TO_GET_STATS_RESULTS
ENGINE-186,RL_GEOHAZ_ERROR
ENGINE-187,FAILED_TO_GET_NONEP_RESULTS
ENGINE-188,FAILED_TO_GET_PLT_RESULTS
ENGINE-189,INVALID_DB_STORE_TYPE
ENGINE-191,DB_UPLOAD_INVALID_FILE
ENGINE-192,FAILED_TO_CHECK_DB_OPERATION
ENGINE-193,FAILED_DOWNLOAD_CSV
ENGINE-194,JOB_CANCELLED
ENGINE-195,JOB_FAILED
ENGINE-197,JOB_FAILED_INFRA_ISSUE
ENGINE-198,RL_GEOHAZ_INVALID_CRITERIA
ENGINE-199,FAILED_TO_UPDATE_COPY_EDM_DST_TABLE
ENGINE-200,INVALID_RECREATE_INDEXES_VALUE
ENGINE-201,RESULTS_REFRESH_FAILED
ENGINE-202,RESULT_TABLE_REFRESH_FAILED
ENGINE-203,FAILED_TO_PROCESS_BACKUP
ENGINE-204,HAZARD_JOB_FAILED
ENGINE-205,REGISTER_TABLE_FAILED_AFTER_RETRIES
ENGINE-206,ILLEGAL_INPUT
ENGINE-207,RESTORE_DB_TO_DATA_BRIDGE_SERVER_FAILED
ENGINE-208,INVALID_DB_KEY
ENGINE-209,RDS_TASK_NOT_FOUND
ENGINE-210,DB_INCOMPATIBLE_VERSIONS
ENGINE-211,FAILED_UPDATE_ANALYSIS_STATUS
ENGINE-212,FAILED_UPDATE_DATA_BRIDGE_DB
ENGINE-213,FAILED_DEREGISTER_DB
ENGINE-214,DELETE_AGGREGATE_PORTFOLIO_OPERATION_FAILED
ENGINE-215,AGGREGATE_PORTFOLIO_OP_NOT_SUPPORTED
ENGINE-216,ALM_IMPORT_OPERATION_FAILED
ENGINE-217,COPY_AGGREGATE_PORTFOLIO_OPERATION_FAILED
ENGINE-218,NO_ALM_FILES_PROVIDED
ENGINE-219,INVALID_ALM_FILE_FORMAT
ENGINE-220,FAILED_GET_NEXT_SEEDID
ENGINE-221,FAILED_DATABRIDGE_IMPORT_ANALYSIS
ENGINE-222,TARGET_RDM_DB_NOT_EXISTS
ENGINE-224,INPUT_PROCESSING_ERROR
ENGINE-225,FAILED_HD_ENGINE
ENGINE-226,NOT_ENOUGH_DISK_SPACE
ENGINE-227,INVALID_BACKUP_FILE
ENGINE-228,RESTORE_FAILED
ENGINE-229,INVALID_DB_VERSION
ENGINE-230,MISSING_RMS_VER_ENTRY
ENGINE-231,FAILED_TO_READ_VALID_VERSIONS
ENGINE-232,GEOCODE_JOB_FAILED
ENGINE-233,HD_CLIMATE_CHANGE_JOB_FAILED
ENGINE-234,CLIMATE_CHANGE_NO_MATCHING_SCENARIO
ENGINE-235,DB_READ_ONLY
ENGINE-236,UNRECOGNIZED_ENGINE_VERSION
ENGINE-237,RESULTS_REFRESH
ENGINE-238,WORKFLOW_ID_NULL
ENGINE-239,LOSS_TRANSFORMATIONS_FAILED
ENGINE-240,HD_GROUPING_JOB_FAILED
ENGINE-241,DLM_CURRENCY_CODE_USD_NOT_FOUND
ENGINE-242,DATABASE_NOT_FOUND
ENGINE-243,INVALID_DATABASE
ENGINE-244,RDM_FAILED_TRUNCATE
ENGINE-245,RDM_FAILED_DELETE_DUPLICATE_RATE_SCHEME
ENGINE-246,HD_CONVERT_RESULT_CURRENCY_FAILED
ENGINE-247,NOTIFICATION_FAILURE
ENGINE-248,SIMULATE_ELTTOPLT_JOB_FAILED
ENGINE-249,DUPLICATE_RECORDS_ERROR
ENGINE-250,FOUND_DUPLICATE_RECORDS
ENGINE-251,DATA_SOURCE_NOT_EXISTS
ENGINE-252,HD_ALM_FAILURE
ENGINE-253,HD_PATE_FAILURE
ENGINE-254,EDIT_NOT_SUPPORTED
ENGINE-255,INVALID_USERNAME
ENGINE-256,NO_SIMULATION_SET_DATA
ENGINE-257,INVALID_EVENT_RATE_SCHEME
ENGINE-400,DLM_400
ENGINE-401,DLM_401
ENGINE-402,DLM_402
ENGINE-403,DLM_403
ENGINE-404,DLM_404
ENGINE-405,DLM_405
ENGINE-406,UNABLE_TO_RETRIEVE_METADATA
INFRA-001,SUBMIT_JOB_FAILED
